record_type,sentence_set_id,label,prefix,word,surprisal_target,actual_surprisal,met_threshold
real_word,1,1,Tyrannosaurus,rex,,9.351464801929659,
real_word,1,2,Tyrannosaurus rex,is,,12.83064046425001,
real_word,1,3,Tyrannosaurus rex is,one,,11.81666239957065,
real_word,1,4,Tyrannosaurus rex is one,of,,9.951405985511766,
real_word,1,5,Tyrannosaurus rex is one of,the,,7.678307161474403,
real_word,1,6,Tyrannosaurus rex is one of the,most,,10.139559133139299,
real_word,1,7,Tyrannosaurus rex is one of the most,famous,,3.6470493036887457,
real_word,1,8,Tyrannosaurus rex is one of the most famous,dinosaurs,,1.072695779397663,
real_word,1,9,Tyrannosaurus rex is one of the most famous dinosaurs,ever.,,4.072772147938152,
real_word,1,1,Humpback,whales,,14.288973543616628,
real_word,1,2,Humpback whales,are,,13.027314320331891,
real_word,1,3,Humpback whales are,known,,9.989473313384343,
real_word,1,4,Humpback whales are known,for,,6.6377811668772555,
real_word,1,5,Humpback whales are known for,their,,10.48174544632439,
real_word,1,6,Humpback whales are known for their,complex,,13.33942705925651,
real_word,1,7,Humpback whales are known for their complex,songs,,11.266833176831646,
real_word,1,8,Humpback whales are known for their complex songs,and,,12.721531918820231,
real_word,1,9,Humpback whales are known for their complex songs and,exciting,,21.879819959890654,
real_word,1,10,Humpback whales are known for their complex songs and exciting,jumps,,12.093901184483911,
real_word,1,11,Humpback whales are known for their complex songs and exciting jumps,out,,11.924759687013356,
real_word,1,12,Humpback whales are known for their complex songs and exciting jumps out,of,,9.546609044314765,
real_word,1,13,Humpback whales are known for their complex songs and exciting jumps out of,the,,12.634991624767272,
real_word,1,14,Humpback whales are known for their complex songs and exciting jumps out of the,water.,,1.6081745977660222,
distractor_candidate,1,1,Tyrannosaurus,auditor,25,23.16886432463758,False
distractor_candidate,1,1,Humpback,auditor,25,22.309817862883882,False
distractor_candidate,1,1,Tyrannosaurus,infants,25,20.188223371505792,False
distractor_candidate,1,1,Humpback,infants,25,21.277580744127718,False
distractor_candidate,1,1,Tyrannosaurus,volcano,25,15.8258930633991,False
